Electricity_Rate_per_kWh,State
0.1159,AL
0.2073,AK
0.1131,AZ
0.09910000000000001,AR
0.22329999999999997,CA
0.1175,CO
0.2108,CT
0.1183,DE
0.1494,DC
0.1251,FL
0.12,GA
0.3972,HI
0.0851,ID
0.11939999999999999,IL
0.1166,IN
0.09570000000000001,IA
0.11470000000000001,KS
0.1051,KY
0.1041,LA
0.1744,ME
0.1332,MD
0.2127,MA
0.132,MI
0.1204,MN
0.1036,MS
0.1026,MO
0.09970000000000001,MT
0.0883,NE
0.1094,NV
0.2107,NH
0.14800000000000002,NJ
0.1002,NM
0.1833,NY
0.096,NC
0.0842,ND
0.10640000000000001,OH
0.1005,OK
0.0926,OR
0.1186,PA
0.193,RI
0.1074,SC
0.10439999999999999,SD
0.10890000000000001,TN
0.1016,TX
0.08800000000000001,UT
0.1699,VT
0.1075,VA
0.09050000000000001,WA
0.0974,WV
0.1195,WI
0.0824,WY
0.12359999999999999,
