State,Intervention,KWH_Reduction,Cost_Reduction,Annual_Tech_Improvement_Rate,Annual_Cost_Change_Rate
CA,battery_storage_and_backup_power,0.06,0.05,0.02,-0.01
CA,electric_panel_and_wiring,0.02,0.03,0.02,-0.01
CA,electric_vehicle,-0.2,-0.18,0.02,-0.01
CA,electric_vehicle_charger,-0.05,-0.05,0.02,-0.01
CA,energy_efficiency_improvements,0.22,0.2,0.02,-0.01
CA,heat_pump_heating_and_cooling,0.28,0.3,0.02,-0.01
CA,heat_pump_laundry_dryer,0.14,0.15,0.02,-0.01
CA,heat_pump_water_heater,0.26,0.25,0.02,-0.01
CA,induction_cooktop,0.09,0.1,0.02,-0.01
CA,shared_transit,0.06,0.05,0.02,-0.01
CA,solar,0.55,0.50,0.02,-0.01
CA,weatherization,0.26,0.25,0.02,-0.01
NY,battery_storage_and_backup_power,0.05,0.04,0.025,0.01
NY,electric_panel_and_wiring,0.03,0.02,0.025,0.01
NY,electric_vehicle,-0.18,-0.16,0.025,0.01
NY,electric_vehicle_charger,-0.04,-0.04,0.025,0.01
NY,energy_efficiency_improvements,0.25,0.22,0.025,0.01
NY,heat_pump_heating_and_cooling,0.32,0.3,0.025,0.01
NY,heat_pump_laundry_dryer,0.16,0.14,0.025,0.01
NY,heat_pump_water_heater,0.27,0.24,0.025,0.01
NY,induction_cooktop,0.11,0.09,0.025,0.01
NY,shared_transit,0.05,0.04,0.025,0.01
NY,solar,0.50,0.45,0.025,0.01
NY,weatherization,0.28,0.26,0.025,0.01
TX,battery_storage_and_backup_power,0.07,0.06,0.015,-0.005
TX,electric_panel_and_wiring,0.02,0.02,0.015,-0.005
TX,electric_vehicle,-0.19,-0.17,0.015,-0.005
TX,electric_vehicle_charger,-0.04,-0.04,0.015,-0.005
TX,energy_efficiency_improvements,0.2,0.18,0.015,-0.005
TX,heat_pump_heating_and_cooling,0.3,0.28,0.015,-0.005
TX,heat_pump_laundry_dryer,0.15,0.13,0.015,-0.005
TX,heat_pump_water_heater,0.25,0.22,0.015,-0.005
TX,induction_cooktop,0.1,0.09,0.015,-0.005
TX,shared_transit,0.06,0.05,0.015,-0.005
TX,solar,0.60,0.55,0.015,-0.005
TX,weatherization,0.25,0.23,0.015,-0.005
FL,battery_storage_and_backup_power,0.05,0.04,0.02,0.0
FL,electric_panel_and_wiring,0.02,0.02,0.02,0.0
FL,electric_vehicle,-0.17,-0.15,0.02,0.0
FL,electric_vehicle_charger,-0.03,-0.03,0.02,0.0
FL,energy_efficiency_improvements,0.22,0.2,0.02,0.0
FL,heat_pump_heating_and_cooling,0.28,0.26,0.02,0.0
FL,heat_pump_laundry_dryer,0.14,0.12,0.02,0.0
FL,heat_pump_water_heater,0.24,0.22,0.02,0.0
FL,induction_cooktop,0.08,0.07,0.02,0.0
FL,shared_transit,0.05,0.04,0.02,0.0
FL,solar,0.52,0.48,0.02,0.0
FL,weatherization,0.24,0.22,0.02,0.0
MA,battery_storage_and_backup_power,0.05,0.04,0.025,0.005
MA,electric_panel_and_wiring,0.03,0.03,0.025,0.005
MA,electric_vehicle,-0.18,-0.16,0.025,0.005
MA,electric_vehicle_charger,-0.05,-0.04,0.025,0.005
MA,energy_efficiency_improvements,0.24,0.22,0.025,0.005
MA,heat_pump_heating_and_cooling,0.29,0.28,0.025,0.005
MA,heat_pump_laundry_dryer,0.15,0.13,0.025,0.005
MA,heat_pump_water_heater,0.26,0.24,0.025,0.005
MA,induction_cooktop,0.09,0.08,0.025,0.005
MA,shared_transit,0.05,0.04,0.025,0.005
MA,solar,0.45,0.45,0.025,0.005
MA,weatherization,0.27,0.25,0.025,0.005
